Name,Domain,Stipend,Location,Branches
Resonance Data(Gurgaon),IT,,Gurgaon,A3 A7 A8 AA C6
Robert Bosch Center for Cyber Physical Systems(Bangalore),Electronics,,Bangalore,A7
Samsung Semiconductor India R&D Center-Hardware(Bangalore),Electronics,50000,Bangalore,A3 A7 A8
Samsung Semiconductor India Research -Software(Bangalore),,50000,Bangalore,A3 A7 A8 B4 B5
Servicenow Software Development India(Bangalore),,35000,Bangalore,A3 A7 AA B4
Servicenow Software Development India(Hyderabad),IT,35000,Hyderabad,A3 A7 AA B4
Setu(Bangalore),,50000,Bangalore,A7
shadowfax Technologies (Business Analyst)(Bangalore),IT,10000,Bangalore,A3 A7 A8 AA
Shell Technology Center(Bangalore),Chemical,20000,Bangalore,A1
shipsy(Gurgaon),IT,,Gurgaon,A3 A7 A8 AA C6
Shopcom (Ravgins International Pvt. Ltd.(Gurgaon),,20000,Gurgaon,A7
SigmaQuant Technologies Pvt. Ltd.(Bangalore),,40000,Bangalore,A3
SmartAnalyst India Pvt. Ltd.(Gurgaon),,20000,Gurgaon,B1 B4 H108 H146
SRF Ltd.(Gurgaon),Chemical,,Gurgaon,A1 H101
Symphony Fintech Solutions Pvt. Ltd.(Mumbai),IT,0,Mumbai,A7
Synchrony Bank(Hyderabad),,25000,Hyderabad,A3 A7 H103 H112 H140 H141 H313
Synopsys India Pvt. Ltd.(Hyderabad),Electronics,,Hyderabad,A3 A7 A8 AA
Tata Chemical Innovation Center(Pune),Chemical,,Pune,A1 B2
Tata Consultancy Services(Bangalore),IT,20000,Bangalore,H103 H140
Tata Digital Health(Bangalore),,45000,Bangalore,A1 A2 A3 A4 A7 A8 AA AB
Techture Structures (IT)(Nagpur),IT,25000,Nagpur,Any A7 A7
Techture Structures Pvt Ltd.(Nagpur),Infrastructure,15000,Nagpur,A7
Texas Instruments (I) Pvt. Ltd. -Digital(Bangalore),Electronics,,Bangalore,H123 H124
Texmaco Rail & Engineering Ltd.(Kolkata),Mechanical,,Kolkata,H148
Udaan(Bangalore),Finance and Mgmt,35000,Bangalore,Any
Udhyam Learning Foundatation(Bangalore),Others,,Bangalore,
UPGRAD(Mumbai),IT,40000,Mumbai,A1 A3 A4 A7 A8 AA
Urban Ladder(Bangalore),,30000,Bangalore,A1 A2 A3 A4 A5 A7 A8 AA AB
UST Global - Cochin(Cochin),IT,20000,Cochin,Any
UST Global Infinity Labs-Robotics(Thiruvananthapuram),IT,,Thiruvananthapuram,A3 A7 A8 AA H103 H112 H313
UST Global- Chennai(Chennai),IT,20000,Chennai,Any
UST Global- Trivandrum(Trivandrum),IT,,Trivandrum,
Valorem Stack Pvt. Ltd. (FloBiz)(Bangalore),,35000,Bangalore,A3 A7 A8
Valorem Stack Pvt. Ltd. (FloBiz) Operations(Bangalore),,25000,Bangalore,Any
VCTIP Pvt. Ltd. (Market Data Forecast) Business Development(Hyderabad),,15000,Hyderabad,Any
VCTIP Pvt. Ltd. (Market Data Forecast) Research Associate(Hyderabad),Others,12000,Hyderabad,A5
VCTIP Pvt. Ltd. (Market Data Forecast) Software Development(Hyderabad),,20000,Hyderabad,A7 H103 H112 H313
VESTAS TECHNOLOGY LTD.(Chennai),Mechanical,30000,Chennai,A3 A7 A8 AA H103 H123 H140
Viacom18 Media Pvt. Ltd - Corporate Strategy(Mumbai),Finance and Mgmt,30000,Mumbai,A3 A7 A8 B3 B4
Viacom18 Media Pvt. Ltd - Digital Ventures(Mumbai),Finance and Mgmt,30000,Mumbai,A1 A2 A3 A4 A7 A8 AA AB
VMware Software India Pvt. Ltd.(Bangalore),IT,50000,Bangalore,A7 A7B1 A7B2 A7B3 A7B4 A7B5 C6 H103 H112 H313
VnF Ideas Pvt Ltd - Analytics(Mumbai),,20000,Mumbai,A1 A2 A3 A4 A7 A8 AA AB
VnF Ideas Pvt Ltd - Digital Marketing(Mumbai),,20000,Mumbai,Any
VnF Ideas Pvt Ltd - Technology(Mumbai),,25000,Mumbai,Any
Vuclip India Pvt. Ltd.(Pune),,60000,Pune,A3 A4 A7 A8 AA
WickedRide Adventure Ltd.(Bounce)(Bangalore),,60000,Bangalore,A3 A7 A8
William O Neil India Pvt Ltd(Bangalore),Finance and Mgmt,40000,Bangalore,A1 A2 A3 A4 A5 A7 A8 AA AB
Worley Parsons India(Mumbai),Infrastructure,,Mumbai,A7 C6 H103 H112
Xcube Labs (PurpleTalk)(Hyderabad),,25000,Hyderabad,A7
Xilinx India Technology Services Pvt. Ltd.(Hyderabad),Electronics,,Hyderabad,A3 A7 A8 AA H103
Xola Travels Pvt. Ltd.(Bangalore),IT,45000,Bangalore,A7
Zendrive India Pvt Ltd(Bangalore),IT,60000,Bangalore,Any A3 Any A7 Any A8 Any AA A3 A7 A8 AA
Zeotap India Pvt. Ltd.(Bangalore),IT,65000,Bangalore,Any A7 Any C6 A7 C6 H103 H112 H313
Zinnov Management Consulting Pvt. Ltd (IT Project)(Bangalore),IT,,Bangalore,A7
Zinnov Management Consulting Pvt. Ltd.,(Gurgaon),Finance and Mgmt,18000,Gurgaon,A7 A8 AA B3 B4 B5
Zinnov Management Consulting Pvt. Ltd.,(Bangalore),Finance and Mgmt,18000,Bangalore,A1 A2 A3 A4 A7 A8 AA AB
